"filename", "language", "JavaScript", "JSON", "YAML", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/koda/Documents/tkbot/.github/FUNDING.yml", "YAML", 0, 0, 13, 0, 0, 0, 1, 2, 16
"/Users/koda/Documents/tkbot/TODO.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 6, 20
"/Users/koda/Documents/tkbot/app.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/koda/Documents/tkbot/commands/admin/antibadword.js", "JavaScript", 65, 0, 0, 0, 0, 0, 3, 12, 80
"/Users/koda/Documents/tkbot/commands/admin/antigroupmention.js", "JavaScript", 65, 0, 0, 0, 0, 0, 3, 12, 80
"/Users/koda/Documents/tkbot/commands/admin/antigroupstatus.js", "JavaScript", 66, 0, 0, 0, 0, 0, 3, 10, 79
"/Users/koda/Documents/tkbot/commands/admin/antilink.js", "JavaScript", 65, 0, 0, 0, 0, 0, 3, 13, 81
"/Users/koda/Documents/tkbot/commands/admin/antispam.js", "JavaScript", 92, 0, 0, 0, 0, 0, 3, 15, 110
"/Users/koda/Documents/tkbot/commands/admin/antisticker.js", "JavaScript", 66, 0, 0, 0, 0, 0, 3, 12, 81
"/Users/koda/Documents/tkbot/commands/admin/antitag.js", "JavaScript", 63, 0, 0, 0, 0, 0, 4, 13, 80
"/Users/koda/Documents/tkbot/commands/admin/antitoxic.js", "JavaScript", 135, 0, 0, 0, 0, 0, 3, 22, 160
"/Users/koda/Documents/tkbot/commands/admin/autosticker.js", "JavaScript", 46, 0, 0, 0, 0, 0, 3, 9, 58
"/Users/koda/Documents/tkbot/commands/admin/chatbot.js", "JavaScript", 189, 0, 0, 0, 0, 0, 5, 43, 237
"/Users/koda/Documents/tkbot/commands/admin/clean.js", "JavaScript", 53, 0, 0, 0, 0, 0, 7, 10, 70
"/Users/koda/Documents/tkbot/commands/admin/delete.js", "JavaScript", 27, 0, 0, 0, 0, 0, 4, 8, 39
"/Users/koda/Documents/tkbot/commands/admin/demote.js", "JavaScript", 40, 0, 0, 0, 0, 0, 6, 12, 58
"/Users/koda/Documents/tkbot/commands/admin/goodbye.js", "JavaScript", 34, 0, 0, 0, 0, 0, 3, 7, 44
"/Users/koda/Documents/tkbot/commands/admin/grouplink.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 6, 32
"/Users/koda/Documents/tkbot/commands/admin/groupstatus.js", "JavaScript", 235, 0, 0, 0, 0, 0, 8, 40, 283
